"vtkOriginalPointIds","Points:0","Points:1","Points:2"
1830,0.044988,0.019734,-0.51108
1833,0.046476,-0.010317,-0.51245
1884,-0.048552,0.014435,-0.51162
1885,-0.04736,-0.016243,-0.51171
2394,-0.017245,0.015968,-0.51529
2556,0.013979,0.017581,-0.51525
2832,0.015468,-0.012541,-0.51613
2833,-0.016023,-0.014477,-0.51583
